fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Toronto Trust Multimercado - Clase Ley N° 27.743,7.0127,-12.7822,16.3588,-14.0731,-12.6601,67.0674,1.6106,2.2381,4.1152,-16.9292,13.191
Delta Recursos Naturales - Clase A,14.8194,-11.1474,17.5934,-12.2617,-10.399,57.7423,4.3706,-0.6156,2.7874,-13.4697,19.6097
Delta Recursos Naturales - Clase B,14.9516,-11.0417,17.7334,-12.164,-10.2889,57.93,4.4827,-0.4935,2.9097,-13.3767,19.7567
Delta Recursos Naturales - Clase E,15.0272,-10.9812,17.8134,-12.1082,-10.226,58.0374,4.5469,-0.4237,2.9797,-13.3236,19.8407
Pionero Acciones Plus - Clase A,8.1759,-9.2911,13.0156,-12.1226,-7.6251,48.636,-1.4159,0.4277,5.9805,-17.6054,14.4101
Pionero Acciones Plus - Clase B,8.323,-9.1636,13.1745,-12.0071,-7.491,48.8449,-1.2908,0.5735,6.1295,-17.5009,14.5761
Superfondo Acciones - Clase A,5.8862,-11.1336,13.477,-13.8961,-9.5188,57.611,0.2276,1.204,7.8409,-16.3267,15.194
Superfondo Acciones - Clase B,6.0008,-11.0342,13.6038,-13.8063,-9.4144,57.7872,0.3287,1.3207,7.9615,-16.2422,15.3269
Superfondo Acciones - Clase F Ley N° 27.743,5.8863,-11.1335,13.4771,-13.8961,-9.5188,57.6111,0.2276,1.204,7.8409,-16.3267,15.1941
Superfondo Acciones - Clase H,5.8862,-11.1336,13.4771,-13.8961,-9.5188,57.611,0.2276,1.204,7.8409,-16.3267,15.194
Superfondo Acciones - Clase I,6.0008,-11.0342,13.6038,-13.8061,-9.4144,57.7871,0.3287,1.3208,7.9615,-16.2423,15.3269
Delta Recursos Naturales - Clase F,14.4601,-11.9673,4.9221,-12.1844,-20.8941,61.7299,3.0578,1.0951,1.192,2.6367,-0.4556
Delta Recursos Naturales - Clase G,-0.3104,-0.9247,-10.7752,0.0887,-11.7138,2.5288,-1.2585,-0.0481,1.1939,2.636,-0.4546
Adcap Acciones - Clase A,7.3335,-13.182,15.1969,-15.4928,-14.0531,73.7218,-0.1685,1.8962,5.0933,-19.104,15.5325
Adcap Acciones - Clase B,7.422,-13.108,15.295,-15.4255,-13.9775,73.8697,-0.0917,1.9858,5.1828,-19.0418,15.6341
Adcap Acciones - Clase Ley Nº 27.743,7.3336,-13.1819,15.1969,-15.4928,-14.0532,73.7223,-0.1684,1.8962,5.0928,-19.104,15.5325
Argenfunds Renta Variable - Clase A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
