fondo,2025-05-30,2025-06-30,2025-07-31,2025-08-29,2025-09-30,2025-10-31,2025-11-28,2025-12-30,2026-01-30,2026-02-27,2026-03-31
Adcap ASB Multiactivo - Clase A,,,13.3329,-14.3064,-10.3983,67.4137,3.7715,0.6863,4.6934,-17.3438,13.1265
Adcap ASB Multiactivo - Clase B,,,13.3817,-14.2722,-10.3592,67.4852,3.8114,0.7306,4.7379,-17.3119,13.1761
Adcap ASB Multiactivo - Clase C,,,13.6361,-14.0919,-10.1506,67.8613,4.0222,0.9641,4.9734,-17.1442,13.4386
Adcap ASB Multiactivo - Clase Ley Nº 27.743,,,13.3333,-14.3064,-10.3983,67.4142,3.7715,0.6861,4.6935,-17.3436,0.5303
Novus Low Volatility - Clase A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Low Volatility - Clase B,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,4.0219
Novus Low Volatility - Clase C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Retorno Total - Clase A,,,0.0,0.0,0.0,3.5116,1.8914,1.3704,2.1846,-1.4106,3.6154
Novus Retorno Total - Clase B,,,0.0,0.0,0.0,3.5116,1.8914,1.3704,2.1846,-1.3994,3.6308
Novus Retorno Total - Clase C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444,3.574
Novus Income Dólares - Clase A,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Income Dólares - Clase B,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Income Dólares - Clase C,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Novus Income Dólares - Clase D Ley N° 27.743,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adcap Financiamiento Megra - Clase A,,,3.0309,2.1371,2.5737,4.8536,3.8411,3.5725,3.1533,2.4956,3.4516
Adcap Financiamiento Megra - Clase B,,,3.0308,2.1372,2.5739,4.8533,3.8412,3.5722,3.1534,2.4953,3.4516
Balanz Long Pesos - Clase A,,,-0.5328,-0.6347,-14.9396,33.2018,3.8837,3.0554,2.8463,3.6204,4.7913
Balanz Long Pesos - Clase B,,,-0.5204,-0.622,-14.9289,33.2187,3.8965,3.0684,2.8597,3.6323,4.8049
Balanz Long Pesos - Clase C,,,-0.5008,-0.6006,-14.9114,33.2471,3.9179,3.0905,2.8812,3.6522,4.827
Balanz Long Pesos - Clase D,,,-0.4545,-0.5501,-13.2249,30.5185,3.9692,3.143,2.9339,3.7,4.8805
Balanz Long Pesos - Clase E,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balanz Long Pesos - Clase F,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Latam - Clase A,,,0.0886,1.002,3.1653,-0.8504,1.5874,0.1259,0.71,0.515,-1.201
Allaria Dólar Latam - Clase B,,,0.0813,1.0099,3.1744,-0.8421,1.5953,0.1345,0.7184,0.5227,-1.1923
Allaria Dólar Latam - Clase C,,,0.0983,1.026,3.1925,-0.8251,1.6109,0.1523,0.7356,0.5383,-1.1747
Allaria Dólar Latam - Clase Ley Nº 27.743,,,0.0685,0.9979,3.1609,-0.8546,1.5836,0.1214,-0.3591,0.0,0.0
Adcap Balanceado XXVIII - Clase A,,,0.2125,1.3721,-5.6025,10.1908,1.7642,2.0352,2.95,2.5778,
Adcap Balanceado XXVIII - Clase B,,,0.2084,0.5904,-5.6081,10.1995,1.7613,2.0321,2.95,2.5778,
Adcap Balanceado XXVIII - Clase C,,,0.652,1.7879,-5.1749,10.6741,2.167,2.4971,3.1813,2.786,
Adcap Balanceado XXVIII - Clase Ley Nº 27.743,,,0.652,1.7882,-5.1749,10.6739,2.1669,2.4971,0.2518,0.0,
Adcap Gestión Estratégica II - Clase B,,,,0.5483,8.5757,5.9319,0.9486,1.0549,-0.4422,-2.3241,-1.0194
BAVSA Renta Dólares - Clase A,,,,-0.4745,-0.4188,0.02,0.0,0.8613,1.2734,0.4856,0.8662
Pionero Dólar Gestión - Clase A,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Dólar Gestión - Clase B,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0413,0.8939
Pionero Dólar Gestión - Clase C Ley N° 27.743,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Gestión - Clase A,,,,0.575,0.6097,0.6003,-0.2312,-0.797,0.0,0.0,0.0
Allaria Dólar Gestión - Clase B,,,,0.6181,0.6619,0.6253,-0.2086,-0.6332,-0.29,-1.7986,-0.5743
Allaria Dólar Gestión - Clase C,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Gestión - Clase D,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Gestión - Clase Ley N° 27.743,,,,0.6859,0.7314,0.7187,0.2822,0.0,0.0,0.0,0.0
Compass Renta Mixta IV - Clase A,,,,2.7152,3.684,4.4798,2.7112,2.038,2.2884,2.0346,2.996
Compass Renta Mixta IV - Clase B,,,,2.5773,3.5318,4.3263,2.595,1.9086,2.146,1.9125,2.8593
Compass Renta Mixta IV - Clase C,,,,2.7152,3.684,4.4798,2.7112,2.038,2.2884,2.0346,2.996
Compass Renta Mixta IV - Clase H Ley N° 27.743,,,,2.7152,3.684,4.4798,2.7112,2.038,2.2884,2.0346,2.996
Compass Renta Mixta IV - Clase I Ley N° 27.743,,,,2.7152,3.684,4.4798,2.7112,2.038,2.2884,2.0346,2.996
Novus Ahorro Dólares - Clase D Ley N° 27.743,,,,-0.3417,-5.5032,5.255,0.4903,0.3096,0.8412,0.3593,0.5385
Balanz Performance VII - Clase A,,,,0.0,0.0,0.0,0.0,,,,
Balanz Performance VII - Clase B,,,,0.0,0.0,0.0,0.0,,,,
Balanz Performance VII - Clase C,,,,0.0,0.0,0.0,0.0,,,,
Balanz Performance VII - Clase D,,,,3.2015,6.3521,-34.3112,1.9352,,,,
Balanz Performance XIV - Clase A,,,,3.96,4.5824,4.3981,3.0081,2.5919,3.0036,2.3917,2.7839
Balanz Performance XIV - Clase B,,,,0.0,1.7307,4.4161,3.0253,2.6095,3.0211,2.4073,2.8013
Balanz Performance XIV - Clase C,,,,0.0,0.0,0.0,3.042,2.4789,3.0389,2.4231,2.8187
Balanz Performance XIV - Clase D,,,,4.0661,4.6856,4.5046,3.1099,2.6969,3.1086,2.486,2.8888
Balanz Performance VII - Clase E,,,,0.0,0.0,0.0,0.0,,,,
ConoSur Ahorro - Clase A,,,,2.2496,4.2824,5.8151,2.4283,1.7585,2.9261,3.077,3.9627
ConoSur Ahorro - Clase B,,,,0.7567,4.2915,5.824,2.4363,1.7677,2.9349,3.0849,3.9719
ConoSur Ahorro - Clase C,,,,2.3146,4.3558,5.8871,2.4912,1.8304,2.9963,3.1405,4.0358
ConoSur Renta Fija Corporativa - Clase A,,,,0.3008,1.2235,0.2093,0.567,0.5485,1.5438,0.6182,0.9819
ConoSur Renta Fija Corporativa - Clase B,,,,0.3088,1.2322,0.218,0.5747,0.5573,1.5524,0.6261,0.9907
ConoSur Renta Fija Corporativa - Clase C,,,,0.3087,1.2324,0.2176,0.5745,0.5571,1.5521,0.6262,0.9908
Balanz Long Pesos - Clase L Ley N° 27.743,,,,-0.5672,-14.8834,33.2926,3.952,3.1254,0.9658,0.0,0.0
Valiant Renta Fija Balanceado IV - Clase A,,,,,-2.0568,5.117,2.3044,1.3123,2.2101,2.1304,-0.4206
Valiant Renta Fija Balanceado IV - Clase B,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAF Estrategia - Clase A,,,,,6.7161,4.1703,2.3242,1.4029,3.7487,0.5184,6.4291
ConoSur Ahorro - Clase D Ley N° 27.723,,,,,4.2916,5.8239,2.4363,1.7677,2.9347,3.0848,3.9718
Parakeet Dinámico II - Clase A,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parakeet Dinámico II - Clase B,,,,,-1.6502,15.5587,3.2045,1.9085,4.6259,1.2788,4.4532
Parakeet Dinámico II - Clase X Ley N°27.743,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fima Capital Plus - Clase E,,,,,,2.1353,1.0413,0.372,-0.2783,-1.696,-0.2458
Fima Renta Plus - Clase E,,,,,,25.0312,2.5739,3.6355,1.5998,4.2945,8.2404
Numancia Pesos II - Clase A,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Numancia Pesos II - Clase B,,,,,,4.1072,1.0581,1.7146,0.1302,-2.1184,-1.1746
Numancia Pesos II - Clase C,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Pionero Renta - Clase A,,,,,,22.9088,3.0741,3.4632,2.1061,4.4112,6.9224
Pionero Renta - Clase B,,,,,,131089.4656,3.0741,3.4632,2.1062,4.4112,6.9668
Pionero Renta - Clase C,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Renta Fija Corporativa Dólar - Clase I,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Consultatio Estrategia I - Clase A,,,,,,0.3921,-1.9238,-0.1745,2.9725,-5.0516,-8.0007
Consultatio Estrategia I - Clase B,,,,,,0.3531,-1.9635,-0.2206,2.9304,-5.0862,-8.0413
Consultatio Estrategia I - Clase C,,,,,,0.3921,-1.9535,-0.228,2.9187,-5.0964,-8.0503
Consultatio Estrategia I - Clase D,,,,,,0.3921,-1.9238,-0.1745,2.9725,-5.0516,-8.0007
Consultatio Estrategia I - Clase E,,,,,,0.3921,-1.9238,-0.1745,2.9725,-5.0516,-8.0007
Consultatio Estrategia II - Clase A,,,,,,-0.3468,0.3318,0.2072,0.2098,0.3647,-0.4699
Consultatio Estrategia II - Clase B,,,,,,-0.3467,0.3318,0.2073,0.2097,0.3648,-0.4698
Consultatio Estrategia II - Clase C,,,,,,-0.2779,0.3945,0.2788,0.2794,0.4276,-0.3989
Consultatio Estrategia II - Clase D,,,,,,-0.2779,0.3945,0.2468,0.2268,0.3803,-0.4526
Consultatio Estrategia II - Clase E,,,,,,-0.2779,0.3945,0.2788,0.2794,0.4276,-0.3989
Consultatio Estrategia III - Clase A,,,,,,4.2119,2.6056,0.917,5.9225,-5.826,-2.6465
Consultatio Estrategia III - Clase B,,,,,,4.183,2.4965,0.8382,5.9267,-5.8245,-2.6421
Consultatio Estrategia III - Clase C,,,,,,4.2659,2.5483,0.8824,5.9714,-5.7883,-2.5996
Consultatio Estrategia III - Clase D,,,,,,4.2149,2.5803,0.981,6.0717,-5.7078,-2.5044
Consultatio Estrategia III - Clase E,,,,,,4.2659,2.5961,0.9267,6.0165,-5.7522,-2.5569
Consultatio Estrategia IV - Clase A,,,,,,0.08,-3.9259,-3.7051,0.807,1.05,1.0856
Consultatio Estrategia IV - Clase B,,,,,,0.08,-3.9259,-3.7129,0.7723,1.0204,1.0515
Consultatio Estrategia IV - Clase C,,,,,,0.08,-3.9259,-3.706,0.7772,1.0226,1.0547
Consultatio Estrategia IV - Clase D,,,,,,0.08,-3.9259,-3.7051,0.807,1.05,1.0856
Consultatio Estrategia IV - Clase E,,,,,,0.08,-3.9259,-3.7051,0.807,1.05,1.0856
Consultatio Estrategia V - Clase A,,,,,,0.08,-3.9259,-3.7878,-4.4396,-0.3158,-0.2946
Consultatio Estrategia V - Clase B,,,,,,0.08,-3.9259,-3.7878,-4.4396,-0.3156,-0.2949
Consultatio Estrategia V - Clase C,,,,,,0.08,-3.9259,-3.7878,-4.4396,-0.3158,-0.2946
Consultatio Estrategia V - Clase D,,,,,,0.08,-3.9259,-3.7878,-4.4396,-0.3158,-0.2946
Consultatio Estrategia V - Clase E,,,,,,0.08,-3.9259,-3.7878,-4.4396,-0.3158,-0.2946
Alpha Renta Fija Corporativa Dólar - Clase A,,,,,,0.0317,0.8805,0.865,1.4181,0.2262,0.9107
Alpha Renta Fija Corporativa Dólar - Clase B,,,,,,0.0235,0.873,0.8561,1.4096,0.2183,0.9018
Alpha Renta Fija Corporativa Dólar - Clase C,,,,,,-1.5436,0.8825,0.8669,1.4202,0.2277,0.9126
Alpha Renta Fija Corporativa Dólar - Clase J,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Renta Fija Corporativa Dólar - Clase K,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Alpha Renta Fija Corporativa Dólar - Clase Q - Ley Nº 27.743,,,,,,-0.4016,0.8729,0.8562,1.4095,0.2184,0.9014
BAVSA Pesos Plus - Clase E Ley Nº 27.743,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Adcap Patrimonio IV - Clase A,,,,,,4.9403,2.0541,2.1652,4.2133,2.1411,2.9597
Adcap Patrimonio IV - Clase B,,,,,,4.8857,2.0541,2.1653,4.2132,2.1414,2.9596
Adcap Patrimonio IV - Clase Ley Nº 27.743,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
Lombard Ahorro Plus II - Clase A,,,,,,5.8443,3.1529,1.454,2.8263,2.63,4.5181
ConoSur Financiamiento - Clase B,,,,,,5.6939,2.9264,1.9621,3.052,2.8634,3.4195
ConoSur Financiamiento - Clase C,,,,,,5.1373,2.9897,2.0339,3.1221,2.9272,3.4922
Fima Ahorro Plus - Clase E,,,,,,6.407,2.8823,2.0445,2.6893,3.2973,3.6881
Allaria Renta Dolar Ley 27260 - Clase D Ley N° 27.743,,,,,,0.0,0.0,-0.0695,-0.0243,0.0,0.0
CMA Dólar Dinamico - Clase A,,,,,,-0.7192,1.152,0.1462,1.0944,0.1277,0.4484
CMA Dólar Dinamico - Clase B,,,,,,-0.7022,1.1687,0.1629,1.1115,0.1432,0.4656
SBS Tavelli Renta - Clase P,,,,,,,1.9664,1.6186,0.2664,-1.0465,0.8285
Pionero Renta Fija Dólares - Clase G,,,,,,,4.1533,0.0,0.0,0.0,0.0
Pionero Renta Fija Dólares - Clase H,,,,,,,0.0,0.0,0.0,0.0,0.0
Parakeet Balanced Fund II - Clase A,,,,,,,-0.0239,0.7511,0.3284,1.0358,-0.8213
Parakeet Balanced Fund II - Clase B,,,,,,,0.05,0.8296,0.3911,1.0989,-0.7593
Parakeet Balanced Fund II - Clase X Ley N° 27.743,,,,,,,0.0,0.0,0.0,0.0,0.0
Balanz Lecaps - Clase A,,,,,,,2.4287,1.5925,2.7904,3.0912,3.0045
Balanz Lecaps - Clase B,,,,,,,2.4669,1.6314,2.8297,3.1269,3.044
Balanz Lecaps - Clase C,,,,,,,2.4961,1.6617,2.8603,3.1546,3.0745
Balanz Lecaps - Clase D,,,,,,,2.5005,1.666,2.8648,3.1585,3.079
Balanz Lecaps - Clase E,,,,,,,0.0,0.0,0.0,0.0,0.0
Balanz Lecaps - Clase F,,,,,,,0.0,0.0,0.0,0.0,0.0
Balanz Lecaps - Clase L Ley Nº 27.743,,,,,,,2.4288,1.5924,2.79,3.0912,3.0044
SBS Tavelli Mix - Clase P,,,,,,,2.3949,1.9933,2.4761,2.8002,3.1497
Allaria Dólar Performance - Clase A,,,,,,,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Performance - Clase B,,,,,,,0.0,0.0,0.0,0.0,0.0
Allaria Dólar Performance - Clase C,,,,,,,0.0,0.0,0.0,0.0,0.0
Balanz Renta Fija Global - Clase A,,,,,,,0.327,0.3495,0.1884,0.4238,-1.0792
Balanz Renta Fija Global - Clase B,,,,,,,0.3072,0.3488,0.1884,0.4238,-1.0794
CMA Dólar Dinamico - Clase D,,,,,,,1.1521,0.1459,1.0946,0.1278,0.4485
CMA Dólar Dinamico - Clase E,,,,,,,1.1691,0.1628,1.1115,0.1432,0.4655
Bull Market Estrategia - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Bull Market Estrategia - Clase B,,,,,,,,-0.0622,2.2925,2.8512,2.9235
Bull Market Renta Fija Plus - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Bull Market Renta Fija Plus - Clase B,,,,,,,,0.8183,1.5165,1.8803,2.5369
Numancia Pesos III - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Numancia Pesos III - Clase B,,,,,,,,2.7789,0.8794,-2.5201,-1.205
Numancia Pesos III - Clase C - Ley N° 27.743,,,,,,,,0.0,0.0,0.0,0.0
Numancia Pesos III - Clase D - Ley N° 27.743,,,,,,,,0.0,0.0,0.0,0.0
BAVSA Pesos Plus - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Adcap Financiamiento Megra - Clase Ley N° 27.743,,,,,,,,3.5724,3.2051,1.3911,0.0
ConoSur Financiamiento - Clase A,,,,,,,,1.9444,3.0346,2.8478,3.4012
ConoSur Financiamiento - Clase D Ley N° 27.743,,,,,,,,1.9624,0.0,0.0,0.0
Parakeet Dinámico III - Clase A,,,,,,,,0.0,0.0,0.0,0.0
Parakeet Dinámico III - Clase B,,,,,,,,0.0,0.0,0.0,0.0
Parakeet Dinámico III - Clase X Ley N° 27.743,,,,,,,,0.0,0.0,0.0,0.0
Valiant Renta Fija Balanceado V - Clase A,,,,,,,,0.1036,0.1708,-0.7438,-0.2732
Valiant Renta Fija Balanceado V - Clase B,,,,,,,,0.0,0.0,0.0,0.0
BAVSA Renta Balanceado V - Clase A,,,,,,,,,1.0746,0.8504,1.3899
BAVSA Renta Balanceado V - Clase B,,,,,,,,,0.0,0.0,0.0
BAVSA Renta Balanceado V - Clase C,,,,,,,,,1.8003,0.9665,1.5234
BAVSA Renta Balanceado V - Clase D,,,,,,,,,0.0,0.0,0.0
BAVSA Renta Balanceado V - Clase E - Ley N° 27.743,,,,,,,,,0.0,0.0,0.0
MEGAQM Estrategia 6 - Clase A,,,,,,,,,0.0,0.0,0.0
MEGAQM Estrategia 6 - Clase B,,,,,,,,,-0.6701,-0.833,-0.3698
Bavsa Renta Balanceado Dólares II - Clase A,,,,,,,,,1.1564,0.9552,-0.1945
Bavsa Renta Balanceado Dólares II - Clase B,,,,,,,,,1.1564,0.9552,-0.1945
Bavsa Renta Balanceado Dólares II - Clase C,,,,,,,,,1.2593,1.0481,-0.0894
Bavsa Renta Balanceado Dólares II - Clase D - Ley N° 27.743,,,,,,,,,0.0,0.0,0.0
Bull Market Renta Fija Dólar - Clase A,,,,,,,,,0.0,0.0,0.0
Bull Market Renta Fija Dólar - Clase B,,,,,,,,,2.2332,-0.4959,-0.578
MEGAQM Estrategia 7,,,,,,,,,1.0395,3.4709,6.8034
Numancia Pesos IV - Clase A,,,,,,,,,0.0,0.0,0.0
Numancia Pesos IV - Clase B,,,,,,,,,-0.7674,-2.5809,-1.7602
Numancia Pesos IV - Clase C - Ley N° 27.743,,,,,,,,,0.0,0.0,0.0
Numancia Pesos IV - Clase D - Ley N° 27.743,,,,,,,,,0.0,0.0,0.0
Balanz Capital Estrategia V USD - Clase A,,,,,,,,,0.0,0.0,0.0
Balanz Capital Estrategia V USD - Clase B,,,,,,,,,0.0,0.0,0.0
Balanz Capital Estrategia V USD - Clase C,,,,,,,,,2.4574,1.0949,0.9333
Balanz Capital Estrategia V USD - Clase D,,,,,,,,,0.0,0.0,0.0
Balanz Capital Estrategia V USD - Clase E,,,,,,,,,2.4571,1.0949,0.9333
Balanz Capital Estrategia V USD - Clase F,,,,,,,,,0.0,0.0,0.0
FBA Ahorro Pesos - Clase B1,,,,,,,,,3.0536,2.5324,0.0
FBA Ahorro Pesos - Clase B2,,,,,,,,,3.1062,3.3093,3.8547
MEGAQM Estrategia 1 - Clase A,,,,,,,,,1.5179,-0.7365,1.2333
MEGAQM Estrategia 1 - Clase B,,,,,,,,,0.0,0.0,0.0
MEGAQM Estrategia 2 - Clase B,,,,,,,,,2.3555,3.2825,5.4182
MEGAQM Estrategia 4 - Clase A,,,,,,,,,0.0,0.0,0.0
MEGAQM Estrategia 4 - Clase B,,,,,,,,,2.9042,4.3454,7.5132
Toronto Trust Special Opportunities - Clase A,,,,,,,,,1.7521,172.3557,39.9174
Toronto Trust Special Opportunities - Clase B,,,,,,,,,0.0,22988.4041,0.0
Toronto Trust Special Opportunities - Clase C,,,,,,,,,0.0,0.0,0.0
MEGAQM Renta Dólares - Clase A,,,,,,,,,0.2486,0.1896,0.1538
MEGAQM Renta Dólares - Clase B,,,,,,,,,0.2828,0.2202,0.1892
MEGAQM Renta Dólares - Clase Ley N° 27.743,,,,,,,,,0.2487,0.1895,0.154
FBA Renta Fija Dólar Latam I - Clase B,,,,,,,,,0.051,0.023,-0.0043
BAVSA Global III - Clase A,,,,,,,,,,0.0,0.0
BAVSA Global III - Clase B,,,,,,,,,,2.232,3.6931
BAVSA Global III - Clase C,,,,,,,,,,2.3223,3.6021
Schroder Patrimonio - Clase A,,,,,,,,,,0.0,0.0
Schroder Patrimonio - Clase C,,,,,,,,,,0.0,1.6752
Axis S&C Renta Fija Dolar - Clase A,,,,,,,,,,0.502,0.3256
Axis S&C Renta Fija Dolar - Clase B,,,,,,,,,,0.5021,0.3258
Axis S&C Renta Fija Dolar - Clase E,,,,,,,,,,0.0,0.0
Axis S&C Renta Fija Dolar - Clase F,,,,,,,,,,0.0,0.0
Axis S&C Renta Fija Dolar - Clase X Ley N° 27.743,,,,,,,,,,0.0,0.0
Axis S&C Renta Fija Dolar - Clase Y Ley N° 27.743,,,,,,,,,,0.0,0.0
Pionero Renta Dólar Estrategia - Clase D,,,,,,,,,,0.0,0.0
Pionero Renta Dólar Estrategia - Clase E,,,,,,,,,,0.5747,0.0611
Pionero FF - Clase A,,,,,,,,,,3.0419,2.772
Parakeet Gestion Activa - Clase A,,,,,,,,,,2.0143,2.3074
Parakeet Gestion Activa - Clase B,,,,,,,,,,2.184,2.4813
Parakeet Gestion Activa - Clase C,,,,,,,,,,0.0,0.0
Parakeet Dólar Estructurado - Clase A,,,,,,,,,,1.1083,0.9807
Parakeet Dólar Estructurado - Clase B,,,,,,,,,,0.9401,0.9813
Parakeet Dólar Estructurado - Clase C,,,,,,,,,,0.0,0.0
Pionero Ahorro Dolár Plus - Clase A,,,,,,,,,,-6.0575,1.9974
Pionero Inversión Dólar - Clase A,,,,,,,,,,0.0,0.0
Pionero Inversión Dólar - Clase C Ley N° 27.743,,,,,,,,,,0.0,0.0
Pionero Inversión Dólar - Clase D,,,,,,,,,,0.0,0.0
Pionero Inversión Dólar - Clase E,,,,,,,,,,0.3392,0.4252
Mercado Fondo Ahorro - Clase A,1.9922,1.9625,1.9595,0.3324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mercado Fondo Ahorro - Clase B,,,,2.9047,2.4215,3.0535,1.3107,1.115,1.968,1.66,0.5315
Pionero Renta Dólares - Clase D,,,,,,,,,,0.2453,0.0
Pionero Renta Dólares - Clase E,,,,,,,,,,0.3181,0.0077
Consultatio Multimercado VI - Clase A,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VI - Clase B,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VI - Clase C,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VII - Clase A,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VII - Clase B,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VII - Clase C,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VIII - Clase A,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VIII - Clase B,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado VIII - Clase C,,,,,,,,,,1.3771,1.3252
Consultatio Multimercado IX - Clase A,,,,,,,,,,-0.4174,-0.3583
Consultatio Multimercado IX - Clase B,,,,,,,,,,-0.4174,-0.3583
Consultatio Multimercado IX - Clase C,,,,,,,,,,-0.4174,-0.3583
Consultatio Multimercado X - Clase A,,,,,,,,,,-0.4174,-0.3589
Consultatio Multimercado X - Clase B,,,,,,,,,,-0.4174,-0.3589
Consultatio Multimercado X - Clase C,,,,,,,,,,-0.4174,-0.3589
BAVSA Renta Balanceado VI - Clase A,,,,,,,,,,,0.0
BAVSA Renta Balanceado VI - Clase B,,,,,,,,,,,3.052
BAVSA Renta Balanceado VI - Clase C,,,,,,,,,,,0.0
BAVSA Renta Balanceado VI - Clase D,,,,,,,,,,,0.0
Bull Market Ahorro Balanceado II - Clase A,,,,,,,,,,,2.1343
Bull Market Ahorro Balanceado II - Clase B,,,,,,,,,,,2.145
Balanz Capital Estrategia VI USD - Clase A,,,,,,,,,,,0.0
Balanz Capital Estrategia VI USD - Clase B,,,,,,,,,,,0.0
Balanz Capital Estrategia VI USD - Clase C,,,,,,,,,,,0.0
Balanz Capital Estrategia VI USD - Clase D,,,,,,,,,,,0.0
Balanz Capital Estrategia VI USD - Clase E,,,,,,,,,,,0.0
Balanz Capital Estrategia VI USD - Clase F,,,,,,,,,,,0.0
Zofingen Renta Fija Dólar - Clase E,,,,,,,,,,,0.0
Zofingen Renta Fija Dólar - Clase F,,,,,,,,,,,0.0
Zofingen Renta Fija Dólar - Clase G,,,,,,,,,,,0.0
Zofingen Renta Fija Dólar - Clase H,,,,,,,,,,,0.0
1810 Renta Dólar - Clase A,,,,,,,,,,,0.667
Zofingen Renta Fija Dólar - Clase A,,,,,,,,,,,0.7037
Zofingen Renta Fija Dólar - Clase B,,,,,,,,,,,0.7037
Zofingen Renta Fija Dólar - Clase C,,,,,,,,,,,0.0
Zofingen Renta Fija Dólar - Clase D,,,,,,,,,,,0.0
Pionero Renta Ahorro Plus - Clase D,,,,,,,,,,,0.0
FBA Ahorro Pesos - Clase B3,,,,,,,,,,,3.9094
Pionero FF - Clase B,,,,,,,,,,,2.8163
Parakeet Global Opportunities Fund - Clase A,,,,,,,,,,,-4.7504
Parakeet Global Opportunities Fund - Clase B,,,,,,,,,,,-4.75
Crecer Capital Dolares - Clase A,,,,,,,,,,,1.0283
Crecer Capital Dolares - Clase B,,,,,,,,,,,1.045
Valiant Renta Fija Balanceado VI - Clase A,,,,,,,,,,,2.6448
Valiant Renta Fija Balanceado VI - Clase B,,,,,,,,,,,2.5998
Axis Pesos - Clase A,2.0559,2.2836,2.3181,2.9592,3.3721,3.3692,1.9612,1.8508,2.1436,2.1051,1.9498
Axis Pesos - Clase B,2.1402,2.3706,2.4054,3.0414,3.4629,3.4572,2.0395,1.9421,2.2308,2.1836,2.0393
Axis Pesos - Clase X Ley N° 27.743,2.056,2.2827,2.3183,2.9593,3.3702,3.3692,1.9511,1.8526,2.1439,2.1052,1.6655
Axis Pesos - Clase Y Ley N° 27.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Schroder Liquidez - Clase A,2.1281,2.2444,2.1857,2.7997,2.6178,2.973,1.6514,1.5374,2.0685,1.9322,1.8797
Schroder Liquidez - Clase B,2.2584,2.3793,2.3206,2.9265,2.7576,3.1091,1.7726,1.6756,2.2032,2.0536,2.0185
Schroder Liquidez - Clase D Ley N° 27.743,2.1278,2.2442,2.1856,2.7985,2.6161,2.9727,1.6507,1.5373,2.0685,1.9287,1.8796
Balanz Money Market USD - Clase A,0.167,0.1762,0.1539,0.141,0.1436,0.1223,0.112,0.1434,0.147,0.1167,0.1013
Balanz Money Market USD - Clase B,0.1713,0.1804,0.1576,0.1449,0.148,0.1266,0.1157,0.1478,0.1512,0.1203,0.1057
Balanz Money Market USD - Clase C,0.1712,0.1805,0.1578,0.145,0.148,0.1264,0.1157,0.1479,0.1514,0.1203,0.1057
Balanz Money Market USD - Clase D,0.1269,0.176,0.1534,0.141,0.1436,0.1223,0.1118,0.1435,0.1473,0.1166,0.1014
Balanz Money Market USD - Clase E,0.0,0.0,0.0815,0.1451,0.1479,0.1264,0.1159,0.1478,0.1512,0.1205,0.1057
Balanz Money Market USD - Clase L Ley Nº 27.743,0.167,0.1763,0.1538,0.1411,0.1437,0.1223,0.1121,0.1435,0.147,0.1167,0.1014
